gvkey,fyear,tic,current_ratio,debt_to_equity,debt_ratio,interest_coverage,roa,roe,asset_turnover,market_to_book,cash_flow_to_liabilities,label
12141,1998,MSFT,2.77295,0.3662,0.2563,1000.0,0.20083,0.28696,0.64785,17.10783,1.2007,0
6008,1998,INTC,2.32167,0.33764,0.2508,213.6,0.19281,0.25957,0.83483,8.40898,1.16445,0
11259,1998,WMT,1.26071,1.28292,0.54174,7.81146,0.08861,0.20983,2.7529,9.05949,0.27986,0
4503,1998,XOM,0.9063,1.07595,0.50818,12.23468,0.06877,0.1456,1.08709,4.05823,0.23487,0
7257,1998,MRK,1.68542,1.19878,0.48179,31.01167,0.16476,0.40996,0.84444,13.59835,0.3472,0
6066,1998,IBM,1.15024,3.47477,0.7743,12.36707,0.0735,0.32982,0.94851,8.80175,0.13909,0
3144,1998,KO,0.73843,1.27835,0.56109,18.19495,0.18454,0.42045,0.98266,19.65841,0.31959,0
8530,1998,PFE,1.38084,1.07741,0.51863,25.60839,0.18309,0.38036,0.74003,18.35982,0.30858,0
2403,1998,BMY,1.51649,1.14784,0.53441,33.25325,0.19303,0.4146,1.12365,17.56347,0.47378,0
1581,1998,T.2,0.91426,1.33328,0.57142,16.54006,0.10744,0.25069,0.89375,5.20472,0.30296,0
1164,1998,MCIP,0.66373,0.83714,0.43604,4.19847,-0.0311,-0.05971,0.2046,2.92684,0.10843,0
14489,1998,DELL,1.71556,1.96295,0.6625,78.69231,0.2123,0.62904,2.65276,54.78242,0.53468,0
8762,1998,PG,1.14346,1.55681,0.60486,11.04927,0.12207,0.31419,1.19983,10.12323,0.26081,0
6266,1998,JNJ,1.36388,0.9287,0.48152,27.87293,0.11671,0.22509,0.90256,8.29524,0.38713,0
9899,1998,T,0.75463,2.52629,0.71642,6.81411,0.08927,0.31479,0.63855,8.2213,0.25959,0
20779,1998,CSCO,2.12901,0.24864,0.19817,1000.0,0.15141,0.18997,0.94864,14.03548,1.63019,0
6730,1998,LLY,1.17355,1.84348,0.64832,14.24357,0.16656,0.47361,0.73334,21.99815,0.32205,0
2146,1998,BLS,0.95148,1.41831,0.57978,7.05376,0.0895,0.21893,0.58673,6.03701,0.33879,0
17828,1998,MBGYY,1.49041,3.46064,0.77188,7.72457,0.03541,0.15875,0.96793,2.70086,0.15873,0
62599,1998,LU.1,1.35002,3.82833,0.79289,11.29552,0.0363,0.17528,1.12826,16.47277,0.06448,0
5680,1998,HD,1.72664,0.53959,0.35024,39.13235,0.11987,0.18467,2.24426,10.21337,0.40649,0
2136,1998,VZ,0.86242,3.19286,0.75418,5.67089,0.05377,0.22766,0.57243,6.43983,0.24216,0
9459,1998,SGP,1.30541,0.95902,0.48954,83.14286,0.22398,0.43878,1.03023,20.32184,0.52788,0
1078,1998,ABT,1.1191,1.31309,0.56768,19.50665,0.17654,0.40836,0.94413,13.00166,0.36426,0
1478,1998,WYE,1.88938,1.16936,0.53338,10.11299,0.11738,0.25735,0.63868,7.69512,0.13472,0
10576,1998,TWX.1,1.17995,2.57492,0.72023,1.58249,0.00531,0.01898,0.46087,8.24064,0.08096,0
3282,1998,CPQ.2,1.41312,0.99357,0.48926,5.16867,-0.119,-0.24165,1.35218,6.24209,0.0571,0
1485,1998,AIT.1,0.64125,1.78049,0.64035,7.03273,0.11901,0.33092,0.56616,6.39135,0.24791,0
7475,1998,MOB.2,0.67442,1.30708,0.56161,4.70067,0.03986,0.09276,1.08264,3.7019,0.22844,0
4961,1998,GTE.1,0.65485,3.74914,0.75353,4.36006,0.0498,0.24778,0.58404,7.17771,0.17922,0
11288,1998,WLA,1.27006,1.55547,0.60868,14.48377,0.13585,0.34717,1.1065,17.10098,0.35337,0
5606,1998,HPQ,1.60202,0.99025,0.49755,17.45106,0.08746,0.17406,1.39759,3.61594,0.32482,0
8479,1998,PEP,0.55118,2.54007,0.71752,7.27089,0.08795,0.31136,0.98623,9.3934,0.19749,0
4087,1998,DD.2,0.79552,1.76241,0.62734,6.8125,0.11625,0.3266,0.64612,4.35651,0.14743,0
2991,1998,CVX,0.87873,1.14512,0.53383,3.65991,0.03664,0.07861,0.71667,3.17954,0.19127,0
5169,1998,G.1,1.56412,1.57809,0.59175,24.7234,0.09083,0.24221,0.8449,11.84232,0.18302,0
3980,1998,DIS,1.24585,1.13421,0.53144,4.96583,0.04471,0.09542,0.55527,2.71052,0.23261,0
7154,1998,MCD,0.52437,1.08405,0.5186,7.00324,0.07835,0.16378,0.62784,5.50324,0.26961,0
12053,1998,EMC.2,4.75329,0.37436,0.27239,48.62582,0.17366,0.23867,0.8698,12.87817,0.6872,0
7228,1998,MDT,2.41866,0.33265,0.24962,46.90972,0.09617,0.12817,0.84884,11.51965,0.37452,0
29318,1998,ATI.1,0.85668,0.75169,0.35475,5.59763,0.0413,0.08752,0.29516,5.00522,0.29806,0
11636,1998,XRX,1.46644,5.0908,0.82354,4.30749,0.01316,0.08133,0.64778,7.97828,-0.03992,0
4990,1998,GAP,1.20522,1.51889,0.603,97.88345,0.20801,0.52396,2.28422,23.32974,0.58327,0
7585,1998,MSI,1.18278,1.35052,0.57456,2.7309,-0.03349,-0.07871,1.02332,3.00316,0.06186,0
10984,1998,S.4,1.22733,1.13583,0.5318,7.67037,0.07965,0.17013,0.83098,4.01492,0.38743,0
12142,1998,ORCL,1.78809,0.96458,0.49099,87.41976,0.17766,0.34903,1.21593,9.60959,0.50699,0
10499,1998,TXN,2.20674,0.72361,0.41982,10.87059,0.03618,0.06236,0.752,5.12517,0.26487,0
7980,1998,NRTLQ,1.75072,0.73731,0.40939,6.67672,-0.02721,-0.04901,0.89261,3.02621,0.19634,0
61489,1998,Q.2,0.53066,23.38013,0.95898,5.59507,0.08193,1.99735,0.67246,43.0465,0.22247,0
10787,1998,TYC,1.13769,1.69299,0.62867,8.14437,0.07108,0.19142,0.74494,5.28152,0.15751,0
1663,1998,BUD.2,0.94804,1.96117,0.6623,7.29091,0.09879,0.29253,0.9008,7.41861,0.26317,0
2285,1998,BA,1.22001,1.97759,0.66416,3.0251,0.03054,0.09094,1.53125,2.48438,0.09718,0
7536,1998,PHA.1,1.37434,2.2862,0.6957,2.6875,-0.01526,-0.05014,0.44168,5.99509,0.0379,0
9359,1998,SWY,0.80173,2.68765,0.7273,6.57782,0.07083,0.26174,2.1497,9.69393,0.15123,0
6435,1998,KMB,0.8995,1.84889,0.63774,8.59972,0.09438,0.27362,1.05219,7.27646,0.26715,0
11040,1998,PNU.1,1.58962,0.8449,0.45694,17.88525,0.06701,0.1239,0.66844,5.15788,0.19779,0
7435,1998,MMM,1.44049,1.31856,0.55303,18.21583,0.08302,0.19794,1.06133,4.81584,0.30995,0
12886,1998,TFCFA,1.33458,1.02735,0.50058,2.27538,0.03453,0.07087,0.38901,1.76746,0.05864,0
61464,1998,UMG.Z,0.74349,1.19744,0.50383,-0.40925,0.93307,2.21759,0.10223,2.39111,0.38841,0
3813,1998,TGT,1.18746,2.04858,0.65945,5.01508,0.05968,0.18541,1.97568,5.58505,0.18023,0
14477,1998,WM,0.90398,4.16939,0.80257,3.47333,-0.03393,-0.17626,0.55925,6.40169,0.08239,0
10482,1998,TX.2,1.07067,1.43388,0.56206,0.87824,0.02023,0.05161,1.0819,2.48663,0.15843,0
4321,1998,EMR,1.24358,1.07466,0.49263,14.33685,0.09705,0.21171,1.0622,4.70068,0.26482,0
3170,1998,CL,1.06172,2.60017,0.69863,6.4691,0.11042,0.41096,1.16739,13.1655,0.21955,0
1602,1998,AMGN,2.10068,0.43322,0.30227,40.90068,0.23506,0.3369,0.74021,10.39014,0.93829,0
9411,1998,HSH,0.91052,4.71531,0.77923,7.91518,-0.04759,-0.288,1.821,14.18967,0.22597,0
13714,1998,PSKY,0.89914,1.00995,0.48971,1.90953,-0.00518,-0.01069,0.51226,2.24322,0.07473,0
9465,1998,SLB,2.24699,0.98027,0.49502,10.50658,0.06308,0.12492,0.73489,3.11944,0.28938,0
5074,1998,EDS.,1.5405,0.87952,0.45147,8.86748,0.0645,0.12565,1.46546,4.18299,0.40118,0
1300,1998,HON,1.07869,1.93751,0.65958,10.49198,0.08554,0.25127,0.97224,4.67189,0.11644,0
10983,1998,RTX,1.20944,2.99635,0.7139,12.2402,0.0683,0.28666,1.39946,5.59032,0.19126,0
2663,1998,CPB,0.51374,5.4405,0.84413,7.84021,0.11717,0.75515,1.18871,27.67963,0.29716,0
116609,1998,INF.3,4.38697,0.21903,0.17968,8.49717,0.02174,0.02651,0.17532,2.64308,0.22781,0
4093,1998,DUK,0.9793,2.21963,0.67485,4.73346,0.04671,0.15362,0.65694,2.85334,0.12886,0
4194,1998,KODK,0.90628,2.66224,0.72063,18.74545,0.09435,0.34855,0.90993,5.82785,0.13968,0
25056,1998,TWX,1.04027,2.70234,0.7299,16.07692,0.04155,0.15385,1.17435,38.61164,0.25433,0
11436,1998,CBS.2,1.73769,1.04562,0.47008,1.74324,-0.00104,-0.00232,0.3379,2.50181,-0.0038,0
1891,1998,ADP,1.49815,0.51928,0.34179,37.77731,0.11696,0.17769,0.9271,6.46302,0.4817,0
3226,1998,CMCSA,1.81863,3.35859,0.73501,1.1937,0.06561,0.29978,0.34725,6.67992,0.09914,0
7241,1998,CVS,1.38806,1.2632,0.53477,13.49354,0.05751,0.13584,2.28435,7.582,0.06181,0
1848,1998,ARC.3,0.47586,2.29054,0.68892,-2.64463,0.01794,0.05964,0.40887,2.7716,0.15248,1
6829,1998,LOW,1.46469,1.0232,0.50573,7.64497,0.07604,0.15384,1.92995,6.55734,0.21717,0
13498,1998,CCL,0.3262,0.64431,0.3846,8.82712,0.11643,0.19505,0.41916,4.79362,0.39543,0
9850,1998,SO,0.64542,2.60192,0.70433,2.09619,0.02769,0.10228,0.31507,2.07002,0.1078,1
4060,1998,DD,1.1751,2.1303,0.66412,4.13519,0.05497,0.17634,0.7752,2.69761,0.18653,0
11264,1998,WBA,1.66013,0.7206,0.41881,278.33333,0.10424,0.17936,3.1226,6.71117,0.27813,0
3310,1998,CA.1,1.41224,1.95713,0.66183,14.31169,0.07757,0.22939,0.65093,6.98092,0.23722,0
6127,1998,ENRNQ,0.97151,2.7701,0.65274,2.33604,0.02395,0.10165,1.06508,2.73003,0.0856,0
7171,1998,MCK,1.35403,2.15136,0.68268,2.26037,0.00935,0.02946,3.34131,6.42603,0.05115,0
2086,1998,BAX,1.55656,2.55231,0.71849,5.65152,0.03123,0.11095,0.65434,6.48627,0.13677,0
4988,1998,TGNA,1.24509,0.75372,0.42978,17.38007,0.14326,0.25125,0.73376,4.52171,0.32355,0
8606,1998,PBI,0.9218,3.46486,0.74441,6.01223,0.07524,0.35019,0.55091,10.85208,0.13451,0
8972,1998,RTN,1.29296,1.5736,0.61144,3.51556,0.03092,0.07959,0.71012,1.63743,0.048,0
64967,1998,Q.1,1.16291,0.90354,0.47466,0.66811,-0.10462,-0.19914,0.27799,4.09372,0.01162,0
7906,1998,NKE,2.25648,0.57362,0.3645,16.41961,0.08602,0.13537,1.67252,5.15884,0.5024,0
64768,1998,AMZN,2.62574,3.67375,0.78604,-3.91862,-0.19206,-0.89766,0.94068,122.9222,0.06089,0
5568,1998,KHC,1.03605,3.46712,0.77613,6.40003,0.0589,0.26311,1.15471,9.30026,0.14561,0
6774,1998,LMT,1.03351,3.68372,0.78649,3.00232,0.03482,0.16311,0.91379,2.72051,0.08984,0
31166,1998,GDT,1.30024,1.83354,0.64709,35.30114,-0.0014,-0.00397,1.20867,29.90554,0.27737,0
1318,1998,AT.2,0.81295,1.86965,0.65054,4.53609,0.05606,0.1611,0.55407,5.04534,0.2045,0
2817,1998,CAT,1.44229,3.89729,0.79581,3.64143,0.06021,0.29487,0.83481,3.20232,0.08891,0
12136,1998,JAVA.1,1.95373,0.6254,0.38477,831.60917,0.13358,0.21712,1.71436,4.65209,0.69468,0
4598,1998,FDX,1.12794,1.28321,0.56202,7.7814,0.05929,0.13537,1.57524,3.50225,0.29612,0
9563,1998,S.1,2.07463,5.21085,0.83899,2.54202,0.02782,0.17277,1.0968,2.68696,0.09776,0
2490,1998,BRK3,0.54893,1.92021,0.65756,6.09605,0.0509,0.14865,0.39405,2.07384,0.14866,0
22260,1998,HCA,1.08542,1.46194,0.57044,2.68984,0.01951,0.04999,0.9615,2.09785,0.17288,0
12206,1998,DTV.2,1.91411,0.54539,0.34026,3.71016,0.02022,0.03242,0.44391,1.89349,0.19145,0
6502,1998,KR,0.83744,-18.2757,1.05788,4.20373,0.06131,-1.05919,4.2094,-40.08426,0.16115,0
2562,1998,BFO.2,1.04022,5.86062,0.82331,6.42105,0.09697,0.69027,1.30132,16.63473,0.15459,0
7065,1998,MMC,0.64874,2.24433,0.69177,10.11429,0.06705,0.21755,0.60568,4.10308,0.13797,0
1240,1998,ABS.1,1.33004,1.21814,0.54917,8.58365,0.09098,0.2018,2.5674,5.33277,0.24111,0
5878,1998,ITW,1.50119,0.81189,0.44296,75.84582,0.10997,0.20155,0.92313,4.3461,0.26622,0
30203,1998,ASND.1,3.46498,0.20884,0.17276,1000.0,-0.00776,-0.00939,0.58412,6.92302,0.6447,0
3105,1998,IHRT,1.58811,0.67825,0.4033,1.77421,0.00717,0.01205,0.17917,3.20422,0.0892,0
12756,1998,CCEP,0.67265,7.82503,0.88463,1.23966,0.00672,0.05944,0.63477,6.00754,0.0506,1
9548,1998,VO.3,1.48036,1.17518,0.49362,1.59748,0.04265,0.10155,0.40399,1.52541,-0.01589,0
6375,1998,K,0.87082,4.67712,0.82385,7.58523,0.0995,0.56485,1.33863,15.53217,0.17293,0
6104,1998,IP,1.65292,1.78005,0.60123,1.72789,0.00895,0.02651,0.74143,1.54597,0.10545,0
1356,1998,AA.3,1.53753,1.65507,0.56868,7.83089,0.04885,0.14216,0.87844,2.27915,0.22121,0
7127,1998,MAY.2,2.42205,1.74009,0.63372,5.37942,0.0806,0.22132,1.27343,3.51152,0.22547,0
11506,1998,WMB,0.79566,3.34078,0.74443,1.62085,0.00684,0.03068,0.39964,3.21467,0.04414,0
10420,1998,TLAB,5.74294,0.18233,0.15421,1819.96271,0.24473,0.28936,1.01997,9.68479,0.83327,0
13440,1998,LVLT,10.47838,1.55196,0.60814,-1.39456,0.14552,0.37136,0.07095,6.13261,0.33839,0
10507,1998,0033A,0.55425,3.76631,0.78597,1.79258,0.01913,0.09168,0.37293,1.59852,0.06456,1
5439,1998,HAL,1.541,1.68288,0.61762,8.6462,-0.00133,-0.00362,1.55065,3.20964,0.06644,0
1704,1998,AMAT,3.14663,0.57972,0.36697,12.61853,0.04684,0.07399,0.81987,4.08902,0.45127,0
3362,1998,CAG,1.05007,2.99515,0.71729,3.98698,0.02951,0.12321,2.02487,4.37397,0.13538,0
3413,1998,ED,0.95808,1.34529,0.56366,4.46681,0.05074,0.12111,0.49321,2.04312,0.16848,0
5071,1998,GIS,0.64841,24.21742,0.96034,7.61751,0.12908,3.25518,1.50846,74.40317,0.17256,0
8264,1998,PCG,0.73353,3.06075,0.74285,2.52771,0.02245,0.09249,0.60005,1.49418,0.0932,1
63800,1998,IMS,1.15293,0.95729,0.45626,182.93568,0.12738,0.26726,0.68524,14.56802,0.26919,0
7923,1998,NSC,0.81737,2.06215,0.67162,1.95903,0.04037,0.12397,0.23218,2.03046,0.07289,0
1920,1998,AVP,1.00895,7.40898,0.86801,15.46098,0.11095,0.94704,2.14206,40.74554,0.15358,0
1608,1998,AMP.2,1.7784,0.79623,0.44328,16.75007,0.00048,0.00087,1.14539,4.27794,0.25647,0
10867,1998,UNP,0.51228,2.97322,0.74831,0.52661,-0.02155,-0.08562,0.35926,1.50828,0.0257,1
4517,1998,NEE,0.77148,1.30258,0.55508,3.8882,0.05645,0.13246,0.55375,2.17253,0.26105,0
6136,1998,IPG,1.02546,4.44379,0.80973,8.47003,0.04464,0.24497,0.55371,8.79613,0.08978,0
1722,1998,ADM,1.46658,1.12663,0.52977,2.32653,0.02918,0.06205,1.16446,1.6998,0.0837,0
